qseqid,strain,contig,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,position
group4511,3213-10,3213-10_00784,unitig_0,96.88,672,21,0,1,672,1474672,1474001,0,1125,1996
group8796,3238-40,3238-40_07150,unitig_0,76.35,647,147,6,128,771,1474680,1474037,4.00E-94,342,1997
group3864,3213-10,3213-10_00346,unitig_0,73.01,1056,249,32,592,1629,1476207,1475170,1.00E-92,339,1998
group4512,3209-6,3209-6_02621,unitig_0,95.98,1839,74,0,1,1839,1476807,1474969,0,2987,1999
group4513,3215-12,3215-12_01180,unitig_0,96.53,432,15,0,1,432,1477502,1477071,0,715,2000
group15313,3361-148C,3361-148C_02325,unitig_0,100,384,0,0,1,384,1477929,1477546,0,710,2001
group4514,3215-12,3215-12_01179,unitig_0,95.92,2427,99,0,1,2427,1479972,1477546,0,3934,2002
group16239,3344-140A,3344-140A_06580,unitig_0,83.89,211,26,2,8,210,1480024,1480234,5.00E-50,195,2003
group4515,3211-8,3211-8_04871,unitig_0,98.53,273,4,0,1,273,1480523,1480251,7.00E-137,483,2004
group15154,3304-109,3304-109_00091,unitig_0,96.39,554,20,0,1,554,1481766,1481213,0,913,2005
group4516,3212-9,3212-9_02627,unitig_0,95.28,954,45,0,1,954,1481766,1480813,0,1513,2006
group4517,3213-10,3213-10_04832,unitig_0,97.23,1658,46,0,1,1658,1482224,1483881,0,2808,2007
group18431,3381-156,3381-156_04000,unitig_0,97.07,581,17,0,1,581,1483301,1483881,0,979,2008
group12573,3350-144B,3350-144B_08071,unitig_0,91.21,273,23,1,13,285,1484043,1484314,6.00E-103,370,2009
group3499,3215-12,3215-12_01175,unitig_0,89.68,349,36,0,1,349,1484396,1484048,1.00E-125,446,2010
group15364,3368-151C,3368-151C_05589,unitig_0,98.92,186,2,0,1,186,1484772,1484587,5.00E-92,333,2011
group3498,3210-7,3210-7_04816,unitig_0,90.89,384,26,3,1,384,1484961,1484587,6.00E-144,507,2012
group8163,3297-102,3297-102_01133,unitig_0,99.66,291,1,0,1,291,1484961,1484671,8.00E-152,532,2013
group3492,3209-6,3209-6_02603,unitig_0,95.77,2271,93,2,1,2271,1485593,1487860,0,3659,2014
group3491,3212-9,3212-9_02643,unitig_0,95.68,1365,59,0,1,1365,1487850,1489214,0,2194,2015
group3490,3211-8,3211-8_04889,unitig_0,96.41,864,31,0,1,864,1489278,1490141,0,1424,2016
group3489,3212-9,3212-9_02645,unitig_0,100,243,0,0,1,243,1490255,1490497,7.00E-127,449,2017
group3488,3207-4,3207-4_02878,unitig_0,96.83,1326,42,0,1,1326,1490575,1491900,0,2217,2018
group7815,3233-35,3233-35_07138,unitig_0,94.74,38,2,0,1,38,1491133,1491170,3.00E-09,60.2,2019
group3487,3212-9,3212-9_02647,unitig_0,94.28,821,47,0,1,821,1492957,1492137,0,1256,2020
group3486,3212-9,3212-9_02648,unitig_0,96.09,588,23,0,1,588,1493596,1493009,0,959,2021
group3485,3210-7,3210-7_06209,unitig_0,97.01,1437,43,0,1,1437,1493865,1495301,0,2416,2022
group3484,3207-4,3207-4_02874,unitig_0,97.14,315,9,0,1,315,1495304,1495618,9.00E-152,532,2023
group3483,3207-4,3207-4_02873,unitig_0,97.13,1671,48,0,1,1671,1495627,1497297,0,2820,2024
group3482,3211-8,3211-8_04897,unitig_0,95.89,511,21,0,1,511,1497308,1497818,0,828,2025
group3481,3211-8,3211-8_04898,unitig_0,93.48,1212,79,0,1,1212,1497910,1499121,0,1801,2026
group19788,3373-153C,3373-153C_02336,unitig_0,99.08,436,3,1,1,435,1500051,1499616,0,782,2027
group3480,3207-4,3207-4_02870,unitig_0,94.08,963,57,0,1,963,1500051,1499089,0,1463,2028
group8668,3249-51,3249-51_02793,unitig_0,86.8,924,117,4,33,954,1501198,1500278,0,1026,2029
group3479,3215-12,3215-12_01149,unitig_0,96.58,936,32,0,1,936,1501213,1500278,0,1552,2030
group3474,3212-9,3212-9_02664,unitig_0,94.13,750,44,0,1,750,1502232,1501483,0,1142,2031
group3473,3207-4,3207-4_02856,unitig_0,94.5,200,11,0,1,200,1502767,1502568,1.00E-84,309,2032
group5812,3214-11,3214-11_04228,unitig_0,94.87,195,10,0,1,195,1503088,1502894,1.00E-83,305,2033
group5813,3214-11,3214-11_04229,unitig_0,96.08,204,8,0,1,204,1503343,1503546,6.00E-92,333,2034
group19560,3311-116,3311-116_07183,unitig_0,99.17,240,2,0,1,240,1503606,1503367,8.00E-122,433,2035
group5815,3207-4,3207-4_02853,unitig_0,95.74,516,22,0,1,516,1503922,1504437,0,832,2036
group6842,3242-44,3242-44_03097,unitig_0,82.58,511,75,8,10,519,1503931,1504428,3.00E-123,438,2037
group5816,3209-6,3209-6_02573,unitig_0,92.54,228,17,0,1,228,1504795,1504568,3.00E-90,327,2038
group5817,3215-12,3215-12_01131,unitig_0,89.43,246,26,0,10,255,1504866,1505111,3.00E-85,311,2039
group19251,3357-147B,3357-147B_00968,unitig_0,99.21,379,2,1,1,378,1504941,1505319,0,682,2040
group14941,3219-16,3219-16_02323,unitig_0,92.81,306,22,0,1,306,1505465,1505770,4.00E-125,444,2041
group5769,3212-9,3212-9_02673,unitig_0,92.57,1494,111,0,1,1494,1505465,1506958,0,2145,2042
group14940,3209-6,3209-6_02570,unitig_0,91.91,408,33,0,1,408,1505807,1506214,3.00E-163,571,2043
group14289,3218-15,3218-15_02497,unitig_0,92.45,636,48,0,1,636,1506323,1506958,0,909,2044
group5770,3210-7,3210-7_06183,unitig_0,91.23,741,59,6,1,738,1507714,1506977,0,1003,2045
group5771,3214-11,3214-11_04235,unitig_0,95.4,478,22,0,1,478,1508013,1508490,0,761,2046
group8136,3269-73,3269-73_05656,unitig_0,81.66,409,75,0,70,478,1508079,1508487,9.00E-94,340,2047
group18030,3858-87,3858-87_02134,unitig_0,100,37,0,0,1,37,1508092,1508128,1.00E-12,69.4,2048
group14684,3393-164C,3393-164C_07148,unitig_0,100,28,0,0,204,231,1508478,1508505,2.00E-07,52.8,2049
group5888,3247-49,3247-49_02762,unitig_0,97.4,231,6,0,1,231,1508837,1509067,3.00E-110,394,2050
group5887,3247-49,3247-49_02761,unitig_0,97.95,537,11,0,1,537,1509077,1509613,0,931,2051
group5886,3246-48,3246-48_04685,unitig_0,99.62,261,1,0,1,261,1509647,1509907,3.00E-135,477,2052
group7565,3258-60,3258-60_04417,unitig_0,98.91,550,2,2,1,546,1509908,1510457,0,979,2053
group5673,3209-6,3209-6_02566,unitig_0,95.89,292,10,2,1,291,1511071,1511361,2.00E-133,472,2054
group5672,3209-6,3209-6_02565,unitig_0,93.24,828,55,1,1,828,1512369,1511543,0,1218,2055
group5671,3213-10,3213-10_04780,unitig_0,94.44,216,12,0,1,216,1512859,1513074,6.00E-92,333,2056
group5670,3215-12,3215-12_01124,unitig_0,96.05,177,7,0,1,177,1513177,1513353,1.00E-78,289,2057
group5669,3207-4,3207-4_02843,unitig_0,95.17,207,10,0,61,267,1513398,1513604,4.00E-90,327,2058
group15989,3366-151A,3366-151A_05118,unitig_0,93.12,247,16,1,1,246,1513638,1513392,5.00E-100,361,2059
group19559,3315-120,3315-120_06018,unitig_0,94.82,193,6,2,1,189,1513768,1513960,2.00E-81,298,2060
group5668,3215-12,3215-12_01122,unitig_0,93.31,1330,87,2,1,1329,1515244,1513916,0,1962,2061
group10302,3399-168A,3399-168A_06984,unitig_0,91.78,742,60,1,1,741,1515412,1514671,0,1031,2062
group5421,3207-4,3207-4_02841,unitig_0,94.67,525,28,0,1,525,1515457,1515981,0,815,2063
group5422,3210-7,3210-7_06174,unitig_0,93.92,477,29,0,1,477,1516093,1516569,0,721,2064
group10632,3319-122B,3319-122B_07595,unitig_0,96.3,973,35,1,1,972,1516986,1517958,0,1596,2065
group7469,3295-100,3295-100_07103,unitig_0,95.99,574,22,1,1,573,1516986,1517559,0,931,2066
group7073,3360-148B,3360-148B_01582,unitig_0,96.11,694,26,1,1,693,1517265,1517958,0,1131,2067
group11542,3359-148A,3359-148A_00946,unitig_0,100,108,0,0,1,108,1517520,1517413,3.00E-52,200,2068
group5423,3212-9,3212-9_07214,unitig_0,96.56,640,22,0,1,640,1518795,1518156,0,1061,2069
group5424,3212-9,3212-9_07215,unitig_0,94.01,1101,66,0,1,1101,1519914,1518814,0,1668,2070
group5425,3214-11,3214-11_04246,unitig_0,95.75,1200,51,0,1,1200,1521159,1519960,0,1934,2071
group5426,3215-12,3215-12_01116,unitig_0,95.33,1307,57,4,1,1305,1521361,1522665,0,2073,2072
group5427,3210-7,3210-7_06169,unitig_0,97.02,939,28,0,1,939,1522744,1523682,0,1580,2073
group17139,3330-131,3330-131_00154,unitig_0,74.24,264,60,8,523,782,1523302,1523561,2.00E-22,104,2074
group5428,3208-5,3208-5_01225,unitig_0,97.06,849,25,0,1,849,1523675,1524523,0,1430,2075
group6189,3249-51,3249-51_04717,unitig_0,73.59,655,141,27,84,722,1524627,1525265,8.00E-58,222,2076
group12560,3349-144A,3349-144A_01033,unitig_0,96.68,211,6,1,1,210,1526044,1526254,6.00E-97,350,2077
group5885,3216-13,3216-13_04801,unitig_0,96.15,597,23,0,1,597,1526044,1526640,0,976,2078
group2553,3212-9,3212-9_07223,unitig_0,95.41,501,23,0,1,501,1526883,1527383,0,798,2079
group2555,3210-7,3210-7_06161,unitig_0,95.89,924,38,0,1,924,1528575,1527652,0,1496,2080
group2556,3215-12,3215-12_01106,unitig_0,96.82,975,31,0,1,975,1529585,1528611,0,1629,2081
group2557,3213-10,3213-10_04759,unitig_0,95.92,711,29,0,1,711,1530361,1529651,0,1153,2082
group2558,3211-8,3211-8_04944,unitig_0,96.68,1596,53,0,1,1596,1530495,1532090,0,2654,2083
group2559,3208-5,3208-5_01213,unitig_0,95.92,1029,42,0,1,1029,1532111,1533139,0,1668,2084
group2560,3211-8,3211-8_04946,unitig_0,94.58,904,47,2,1,903,1533136,1534038,0,1397,2085
group2561,3212-9,3212-9_07232,unitig_0,95.51,846,38,0,1,846,1534025,1534870,0,1352,2086
group2562,3209-6,3209-6_02538,unitig_0,95.16,744,36,0,1,744,1534867,1535610,0,1175,2087
group5884,3248-50,3248-50_05472,unitig_0,95.88,194,8,0,50,243,1535417,1535610,3.00E-86,315,2088
group2563,3208-5,3208-5_01209,unitig_0,95.55,1056,47,0,1,1056,1536928,1535873,0,1690,2089
group2564,3213-10,3213-10_04752,unitig_0,95.25,2524,118,2,1,2523,1537175,1539697,0,3995,2090
group2565,3215-12,3215-12_01097,unitig_0,96.83,1260,40,0,1,1260,1539763,1541022,0,2106,2091
group2566,3209-6,3209-6_02534,unitig_0,96.05,1039,39,2,1,1038,1541034,1542071,0,1690,2092
group2567,3212-9,3212-9_05059,unitig_0,96.76,1049,34,0,1,1049,1542068,1543116,0,1749,2093
group11730,3210-7,3210-7_06575,unitig_0,74.36,433,87,21,257,677,1543369,1543789,5.00E-40,163,2094
group9138,3254-56,3254-56_06600,unitig_0,100,63,0,0,1,63,1544407,1544345,2.00E-26,117,2095
group4118,3239-41,3239-41_07438,unitig_0,100,474,0,0,1,474,1544905,1545378,0,876,2096
group10318,3301-106,3301-106_07183,unitig_0,100,231,0,0,1,231,1545183,1544953,3.00E-120,427,2097
group10484,3279-84,3279-84_07247,unitig_0,100,45,0,0,832,876,1545394,1545350,3.00E-16,84.2,2098
group5883,3249-51,3249-51_03940,unitig_0,94.97,179,9,0,1,179,1545570,1545392,2.00E-76,281,2099
group2572,3210-7,3210-7_03499,unitig_0,94.29,210,12,0,1,210,1545949,1546158,1.00E-88,322,2100
group2573,3213-10,3213-10_03663,unitig_0,90.93,375,34,0,1,375,1546168,1546542,2.00E-143,505,2101
group2574,3212-9,3212-9_05080,unitig_0,95.05,1293,61,1,1,1293,1546804,1548093,0,2030,2102
group2575,3208-5,3208-5_01186,unitig_0,96.09,717,28,0,1,717,1548106,1548822,0,1170,2103
group2576,3207-4,3207-4_02791,unitig_0,95.1,1205,55,4,1,1203,1548812,1550014,0,1895,2104
group2577,3211-8,3211-8_06583,unitig_0,94.15,359,21,0,1,359,1550088,1550446,4.00E-156,547,2105
group8144,3373-153C,3373-153C_05861,unitig_0,92.63,380,16,6,1,373,1550088,1550462,8.00E-153,536,2106
group2578,3208-5,3208-5_01183,unitig_0,94.11,611,36,0,1,611,1550662,1551272,0,929,2107
group2579,3212-9,3212-9_05085,unitig_0,97.17,813,23,0,1,813,1552234,1551422,0,1375,2108
group14756,3393-164C,3393-164C_05257,unitig_0,100,150,0,0,1,150,1552448,1552597,2.00E-75,278,2109
group2580,3213-10,3213-10_03656,unitig_0,97.12,729,21,0,1,729,1552581,1553309,0,1230,2110
group2581,3214-11,3214-11_04755,unitig_0,93.89,982,58,2,1,981,1553319,1554299,0,1480,2111
group2582,3208-5,3208-5_01179,unitig_0,94.77,1569,82,0,1,1569,1554339,1555907,0,2444,2112
group2583,3207-4,3207-4_02784,unitig_0,94.85,1087,54,2,1,1086,1555897,1556982,0,1696,2113
group2584,3210-7,3210-7_03511,unitig_0,83.3,916,149,4,1,914,1556979,1557892,0,841,2114
group2585,3215-12,3215-12_01063,unitig_0,83.06,1033,165,8,50,1077,1558003,1559030,0,929,2115
group2586,3210-7,3210-7_03513,unitig_0,97.4,963,25,0,1,963,1559177,1560139,0,1640,2116
group2587,3213-10,3213-10_03649,unitig_0,93.64,1524,97,0,1,1524,1560363,1561886,0,2278,2117
group4950,3210-7,3210-7_01843,unitig_0,93.18,44,2,1,1286,1328,1561626,1561669,7.00E-10,63.9,2118
group11817,3212-9,3212-9_02385,unitig_0,100,33,0,0,1336,1368,1561638,1561670,3.00E-09,62.1,2119
group2588,3207-4,3207-4_02779,unitig_0,94.67,1014,54,0,1,1014,1561883,1562896,0,1574,2120
group2589,3208-5,3208-5_01172,unitig_0,96.49,969,34,0,1,969,1562893,1563861,0,1602,2121
group2590,3211-8,3211-8_06596,unitig_0,93.38,786,52,0,1,786,1563878,1564663,0,1164,2122
group5882,3211-8,3211-8_06597,unitig_0,93.83,1362,84,0,1,1362,1564828,1566189,0,2050,2123
group16181,3381-156,3381-156_02910,unitig_0,94.92,768,39,0,1,768,1565568,1564801,0,1203,2124
group16184,3225-22,3225-22_07202,unitig_0,93.69,222,14,0,1,222,1565968,1566189,6.00E-92,333,2125
group10715,3294-99B,3294-99B_06940,unitig_0,97.04,1827,54,0,1,1827,1566298,1568124,0,3075,2126
group16185,3225-22,3225-22_07203,unitig_0,96.64,387,13,0,1,387,1566684,1566298,0,643,2127
group5374,3207-4,3207-4_02774,unitig_0,95.74,704,30,0,1,704,1568261,1568964,0,1134,2128
group5375,3207-4,3207-4_02773,unitig_0,95.73,2107,88,2,1,2106,1571154,1569049,0,3391,2129
group5376,3212-9,3212-9_05101,unitig_0,95.1,306,15,0,1,306,1571247,1571552,8.00E-137,483,2130
group5377,3211-8,3211-8_06602,unitig_0,95.29,3501,165,0,1,3501,1571549,1575049,0,5552,2131
group5378,3213-10,3213-10_03639,unitig_0,94.03,469,26,2,1,468,1575114,1575581,0,710,2132
group5379,3215-12,3215-12_01050,unitig_0,94.63,670,36,0,1,670,1576270,1575601,0,1038,2133
group5380,3208-5,3208-5_01162,unitig_0,94.4,1804,99,2,1,1803,1578138,1576336,0,2771,2134
group5381,3208-5,3208-5_01161,unitig_0,94.14,666,36,3,1,666,1578423,1579085,0,1011,2135
group4675,3214-11,3214-11_04735,unitig_0,98.18,330,6,0,1,330,1579529,1579200,4.00E-165,577,2136
group4674,3211-8,3211-8_06608,unitig_0,97.09,1408,41,0,1,1408,1581199,1579792,0,2374,2137
group4673,3207-4,3207-4_02764,unitig_0,95.87,339,14,0,1,339,1581616,1581278,9.00E-157,549,2138
group4672,3207-4,3207-4_02763,unitig_0,93.96,1473,89,0,1,1473,1581960,1583432,0,2228,2139
group11257,3309-114,3309-114_04729,unitig_0,95.38,195,5,2,1,192,1583622,1583429,3.00E-84,307,2140
group4671,3212-9,3212-9_05111,unitig_0,93.42,1018,64,1,1,1015,1583730,1584747,0,1506,2141
group4670,3212-9,3212-9_05112,unitig_0,95.54,807,36,0,1,807,1585664,1584858,0,1291,2142
group4669,3215-12,3215-12_01041,unitig_0,94.59,462,25,0,1,462,1586150,1585689,0,715,2143
group4668,3208-5,3208-5_01153,unitig_0,94.76,2922,153,0,1,2922,1589068,1586147,0,4549,2144
group4667,3207-4,3207-4_02758,unitig_0,95.88,510,18,1,1,510,1589351,1589857,0,822,2145
group9172,3334-134A,3334-134A_06154,unitig_0,98.15,108,2,0,1,108,1590294,1590187,6.00E-49,189,2146
group8943,3244-46,3244-46_07297,unitig_0,98.39,621,10,0,1,621,1590343,1590963,0,1092,2147
group11690,3312-117,3312-117_07319,unitig_0,98.17,546,10,0,1,546,1590418,1590963,0,953,2148
group2592,3262-66,3262-66_07062,unitig_0,98.21,168,3,0,1,168,1590446,1590279,2.00E-80,294,2149
group7443,3214-11,3214-11_07457,unitig_0,97.81,183,4,0,4,186,1590461,1590279,5.00E-87,316,2150
group2591,3361-148C,3361-148C_06791,unitig_0,98.33,360,6,0,1,360,1590638,1590279,0,632,2151
group10000,3348-143,3348-143_04384,unitig_0,99.15,705,6,0,1,705,1590678,1591382,0,1269,2152
group13596,3314-119,3314-119_02249,unitig_0,96.69,332,11,0,1,332,1590678,1591009,7.00E-158,553,2153
group11599,3368-151C,3368-151C_06391,unitig_0,98.87,444,5,0,1,444,1590722,1590279,0,793,2154
group7639,3364-149C,3364-149C_06546,unitig_0,98.25,456,8,0,1,456,1590734,1590279,0,798,2155
group11610,3394-165A,3394-165A_07492,unitig_0,98.2,222,4,0,1,222,1590742,1590963,1.00E-108,388,2156
group7114,3383-157B,3383-157B_05980,unitig_0,98.48,525,8,0,1,525,1590803,1590279,0,926,2157
group9646,3395-165B,3395-165B_06372,unitig_0,100,267,0,0,1,267,1591116,1591382,3.00E-140,494,2158
group10685,3294-99B,3294-99B_01883,unitig_0,97.74,574,9,1,1,570,1591208,1590635,0,985,2159
group13547,3340-137A,3340-137A_05388,unitig_0,99.25,930,7,0,1,930,1591208,1590279,0,1679,2160
group7266,3278-83,3278-83_03332,unitig_0,98.67,1053,14,0,1,1053,1591331,1590279,0,1868,2161
group4666,3209-6,3209-6_02479,unitig_0,96.14,648,25,0,1,648,1592333,1591686,0,1059,2162
group4665,3211-8,3211-8_06617,unitig_0,93.9,2770,153,12,1,2759,1592634,1595398,0,4165,2163
group13386,3210-7,3210-7_03539,unitig_0,91.41,396,25,7,2,390,1595432,1595825,3.00E-152,534,2164
group5880,3221-18,3221-18_01325,unitig_0,95.56,135,6,0,1,135,1595749,1595615,4.00E-57,217,2165
group4664,3208-5,3208-5_01148,unitig_0,97.44,156,4,0,1,156,1595941,1595786,4.00E-72,267,2166
group4663,3207-4,3207-4_02753,unitig_0,91.3,276,24,0,7,282,1596364,1596089,4.00E-105,377,2167
group4662,3210-7,3210-7_03542,unitig_0,96.36,495,18,0,1,495,1596437,1596931,0,815,2168
group4661,3215-12,3215-12_01032,unitig_0,93.89,573,35,0,1,573,1596974,1597546,0,865,2169
group4660,3207-4,3207-4_02750,unitig_0,98.43,510,8,0,1,510,1597576,1598085,0,898,2170
group4659,3207-4,3207-4_02749,unitig_0,91.83,1090,82,6,1,1086,1598160,1599246,0,1513,2171
group4658,3210-7,3210-7_03546,unitig_0,94.22,1124,65,0,1,1124,1599243,1600366,0,1716,2172
group9341,3246-48,3246-48_04857,unitig_0,99.43,174,1,0,1,174,1600705,1600878,5.00E-87,316,2173
group11036,3212-9,3212-9_00405,unitig_0,82.92,363,56,6,63,423,1600746,1600388,3.00E-88,322,2174
group9342,3286-91,3286-91_02298,unitig_0,96.17,1252,47,1,1,1251,1601072,1602323,0,2045,2175
group9343,3278-83,3278-83_05009,unitig_0,100,96,0,0,1,96,1602370,1602465,1.00E-45,178,2176
group4657,3214-11,3214-11_04716,unitig_0,94.59,425,23,0,1,425,1603229,1602805,0,658,2177
group4656,3215-12,3215-12_01027,unitig_0,91.94,1266,102,0,1,1266,1604577,1603312,0,1773,2178
group4655,3207-4,3207-4_02744,unitig_0,95.34,536,25,0,1,536,1605181,1604646,0,852,2179
group4654,3212-9,3212-9_05129,unitig_0,93.2,294,20,0,1,294,1605492,1605199,9.00E-122,433,2180
group4653,3209-6,3209-6_02465,unitig_0,89.54,1396,143,2,2,1394,1607850,1606455,0,1766,2181
group11324,3287-92,3287-92_01977,unitig_0,92,325,25,1,1,324,1608113,1608437,2.00E-128,455,2182
group5499,3212-9,3212-9_05131,unitig_0,92.42,2375,176,4,1,2373,1608113,1610485,0,3386,2183
group8130,3338-136A,3338-136A_05994,unitig_0,93.44,1189,72,6,1,1185,1608113,1609299,0,1759,2184
group11349,3339-136B,3339-136B_01578,unitig_0,92.63,1059,78,0,1,1059,1609427,1610485,0,1524,2185
group5500,3207-4,3207-4_02740,unitig_0,98.41,189,3,0,1,189,1610688,1610500,5.00E-92,333,2186
group5501,3207-4,3207-4_02739,unitig_0,94.72,303,15,1,1,303,1611235,1610934,7.00E-133,470,2187
group5502,3213-10,3213-10_03593,unitig_0,93.69,396,25,0,1,396,1611393,1611788,5.00E-170,593,2188
group5503,3209-6,3209-6_02460,unitig_0,95.67,831,36,0,1,831,1612008,1612838,0,1336,2189
group5504,3208-5,3208-5_01131,unitig_0,94.41,1145,64,0,1,1145,1612835,1613979,0,1760,2190
group17480,3369-152A,3369-152A_00568,unitig_0,95.24,105,5,0,3,107,1613875,1613979,7.00E-42,167,2191
group5505,3211-8,3211-8_06637,unitig_0,94.37,924,52,0,1,924,1614012,1614935,0,1419,2192
group5506,3207-4,3207-4_02734,unitig_0,95.1,837,41,0,1,837,1614932,1615768,0,1319,2193
group5507,3207-4,3207-4_02733,unitig_0,95.18,1266,61,0,1,1266,1615795,1617060,0,2001,2194
group5523,3209-6,3209-6_02455,unitig_0,95.11,981,48,0,1,981,1618112,1617132,0,1546,2195
group11504,3368-151C,3368-151C_05718,unitig_0,96.33,1227,45,0,2,1228,1618342,1619568,0,2017,2196
group5524,3209-6,3209-6_02454,unitig_0,89.57,2916,298,6,7,2919,1618347,1621259,0,3696,2197
group10583,3307-112,3307-112_07243,unitig_0,87.04,216,28,0,75,290,1618535,1618750,5.00E-65,244,2198
group9538,3249-51,3249-51_04924,unitig_0,89.89,2730,266,10,12,2736,1618535,1621259,0,3504,2199
group18842,3290-95,3290-95_07686,unitig_0,85.47,406,57,2,8,412,1619797,1619393,3.00E-118,422,2200
group17437,3396-166A,3396-166A_04922,unitig_0,98.31,354,5,1,1,354,1620378,1620730,7.00E-178,619,2201
group17430,3368-151C,3368-151C_05720,unitig_0,96.97,495,15,0,1,495,1620765,1621259,0,832,2202
group18193,3228-27,3228-27_07587,unitig_0,89.8,255,26,0,1,255,1621528,1621274,3.00E-90,327,2203
group18250,3257-59,3257-59_07524,unitig_0,89.67,426,44,0,1,426,1621699,1621274,5.00E-155,544,2204
group5525,3210-7,3210-7_03563,unitig_0,91.11,675,60,0,7,681,1621948,1621274,0,915,2205
group5526,3213-10,3213-10_03584,unitig_0,92.29,493,36,2,1,492,1622442,1621951,0,699,2206
group5527,3209-6,3209-6_02451,unitig_0,88.71,1151,126,4,61,1209,1623706,1622558,0,1402,2207
group5528,3210-7,3210-7_03566,unitig_0,87.17,912,117,0,1,912,1623940,1624851,0,1037,2208
group16081,3374-153D,3374-153D_00440,unitig_0,93.51,339,18,4,4,340,1624105,1624441,4.00E-142,501,2209
group17834,3337-135B,3337-135B_06996,unitig_0,86.96,414,54,0,1,414,1624438,1624851,1.00E-131,466,2210
group11084,3208-5,3208-5_01121,unitig_0,97.62,42,1,0,619,660,1624944,1624903,5.00E-13,73.1,2211
group13466,3381-156,3381-156_06805,unitig_0,100,39,0,0,373,411,1625005,1624967,3.00E-13,73.1,2212
group12697,3335-134B,3335-134B_07114,unitig_0,99.08,325,3,0,1,325,1625019,1625343,2.00E-167,584,2213
group4372,3208-5,3208-5_01120,unitig_0,90.85,1509,134,4,1,1507,1625019,1626525,0,2019,2214
group7497,3208-5,3208-5_07087,unitig_0,72.43,486,114,20,610,1085,1625433,1625908,4.00E-32,137,2215
group9676,3353-145C,3353-145C_02326,unitig_0,93.23,709,42,6,1,706,1625657,1624952,0,1038,2216
group2242,3209-6,3209-6_01710,unitig_0,91.6,369,31,0,1,369,1626668,1627036,5.00E-145,510,2217
group4375,3207-4,3207-4_02722,unitig_0,86.58,462,59,3,1,459,1627529,1627068,8.00E-144,507,2218
group4376,3207-4,3207-4_02721,unitig_0,90.94,287,26,0,2,288,1627872,1627586,6.00E-108,387,2219
group4377,3209-6,3209-6_06838,unitig_0,88.39,465,54,0,16,480,1628361,1627897,6.00E-160,560,2220
group4378,3208-5,3208-5_01114,unitig_0,93.54,1347,87,0,1,1347,1629757,1628411,0,2006,2221
group4379,3207-4,3207-4_02718,unitig_0,82.32,1476,243,17,1,1467,1631237,1629771,0,1264,2222
group4380,3215-12,3215-12_06503,unitig_0,88.6,228,26,0,1,228,1631461,1631234,3.00E-75,278,2223
group18418,3392-164B,3392-164B_02552,unitig_0,89.19,111,12,0,1,111,1631954,1631844,1.00E-33,139,2224
group4381,3210-7,3210-7_03577,unitig_0,78.92,408,74,11,1,405,1631954,1631556,1.00E-71,267,2225
group4382,3208-5,3208-5_01110,unitig_0,83.9,503,69,7,8,510,1632682,1632192,1.00E-132,470,2226
group10575,3314-119,3314-119_06809,unitig_0,81.54,558,81,9,14,550,1632918,1633474,1.00E-123,440,2227
group4383,3213-10,3213-10_03569,unitig_0,83.45,556,68,14,21,555,1632924,1633476,2.00E-140,496,2228
group12985,3207-4,3207-4_05943,unitig_0,81.14,175,33,0,103,277,1633006,1633180,5.00E-34,141,2229
group12986,3214-11,3214-11_00725,unitig_0,86.61,127,17,0,1,127,1633348,1633474,2.00E-34,141,2230
group4384,3209-6,3209-6_06831,unitig_0,97.06,681,20,0,1,681,1634227,1633547,0,1147,2231
group4385,3213-10,3213-10_03567,unitig_0,95.13,3247,153,4,1,3246,1637544,1634302,0,5116,2232
group11463,3268-72,3268-72_02942,unitig_0,94.03,67,1,1,245,311,1637681,1637744,4.00E-21,99,2233
group4386,3210-7,3210-7_03582,unitig_0,93.16,1695,116,0,1,1695,1639501,1637807,0,2488,2234
group4391,3208-5,3208-5_01101,unitig_0,97.06,1088,32,0,1,1088,1641002,1639915,0,1832,2235
group4392,3211-8,3211-8_07387,unitig_0,97.51,963,24,0,1,963,1641349,1642311,0,1646,2236
group4393,3211-8,3211-8_07386,unitig_0,97.21,1542,43,0,1,1542,1642391,1643932,0,2610,2237
group4394,3214-11,3214-11_06851,unitig_0,94.83,1026,53,0,1,1026,1643976,1645001,0,1602,2238
group15621,3387-160,3387-160_05158,unitig_0,97.3,37,1,0,78,114,1645014,1644978,4.00E-11,63.9,2239
group5878,3254-56,3254-56_07070,unitig_0,100,132,0,0,1,132,1645195,1645064,2.00E-65,244,2240
group5877,3239-41,3239-41_07088,unitig_0,98.97,292,2,1,1,291,1645534,1645243,2.00E-148,521,2241
group17224,3367-151B,3367-151B_06916,unitig_0,89.02,82,9,0,23,104,1645859,1645778,1.00E-22,102,2242
group8958,3236-38,3236-38_07133,unitig_0,92.07,429,34,0,1,429,1646092,1646520,2.00E-173,604,2243
group8986,3305-110,3305-110_07269,unitig_0,93.02,315,22,0,1,315,1646137,1646451,4.00E-130,460,2244
group13905,3284-89,3284-89_07192,unitig_0,100,279,0,0,1,279,1646154,1645876,8.00E-147,516,2245
group18524,3327-129,3327-129_07537,unitig_0,100,158,0,0,1,158,1646235,1646078,1.00E-79,292,2246
group6009,3267-71,3267-71_07334,unitig_0,98.61,360,5,0,1,360,1646235,1645876,0,638,2247
