,qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qends,start,send,evalue,bitscore,gene,strain,contig
143,group1132|3206-3|3206-3_04751,unitig_0_chrom|quiver,100.0,387,0,0,1,387,1675416,1675030,0.0,715.0,group1132,3206-3,3206-3_04751
144,group1133|3206-3|3206-3_04750,unitig_0_chrom|quiver,100.0,2541,0,0,1,2541,1677961,1675421,0.0,4693.0,group1133,3206-3,3206-3_04750
145,group1134|3206-3|3206-3_04749,unitig_0_chrom|quiver,100.0,348,0,0,1,348,1678354,1678007,0.0,643.0,group1134,3206-3,3206-3_04749
146,group1135|3206-3|3206-3_04748,unitig_0_chrom|quiver,100.0,873,0,0,1,873,1678665,1679537,0.0,1613.0,group1135,3206-3,3206-3_04748
147,group1136|3206-3|3206-3_04747,unitig_0_chrom|quiver,100.0,1602,0,0,1,1602,1681303,1679702,0.0,2959.0,group1136,3206-3,3206-3_04747
148,group1137|3206-3|3206-3_04746,unitig_0_chrom|quiver,100.0,654,0,0,1,654,1682198,1681545,0.0,1208.0,group1137,3206-3,3206-3_04746
149,group1138|3206-3|3206-3_04745,unitig_0_chrom|quiver,100.0,774,0,0,1,774,1682968,1682195,0.0,1430.0,group1138,3206-3,3206-3_04745
150,group1139|3206-3|3206-3_04744,unitig_0_chrom|quiver,100.0,1284,0,0,1,1284,1684256,1682973,0.0,2372.0,group1139,3206-3,3206-3_04744
151,group1140|3206-3|3206-3_04743,unitig_0_chrom|quiver,100.0,828,0,0,1,828,1685285,1684458,0.0,1530.0,group1140,3206-3,3206-3_04743
152,group1141|3206-3|3206-3_04742,unitig_0_chrom|quiver,100.0,612,0,0,1,612,1685893,1685282,0.0,1131.0,group1141,3206-3,3206-3_04742
153,group1142|3206-3|3206-3_04741,unitig_0_chrom|quiver,100.0,192,0,0,1,192,1686135,1685944,1.18e-98,355.0,group1142,3206-3,3206-3_04741
154,group1143|3206-3|3206-3_04740,unitig_0_chrom|quiver,100.0,717,0,0,1,717,1687035,1686319,0.0,1325.0,group1143,3206-3,3206-3_04740
155,group1144|3206-3|3206-3_04739,unitig_0_chrom|quiver,100.0,858,0,0,1,858,1687889,1687032,0.0,1585.0,group1144,3206-3,3206-3_04739
156,group1145|3206-3|3206-3_04738,unitig_0_chrom|quiver,100.0,1014,0,0,1,1014,1688921,1687908,0.0,1873.0,group1145,3206-3,3206-3_04738
157,group1146|3206-3|3206-3_04737,unitig_0_chrom|quiver,100.0,3246,0,0,1,3246,1692283,1689038,0.0,5995.0,group1146,3206-3,3206-3_04737
158,group1147|3206-3|3206-3_04736,unitig_0_chrom|quiver,100.0,1758,0,0,1,1758,1694103,1692346,0.0,3247.0,group1147,3206-3,3206-3_04736
159,group1148|3206-3|3206-3_04735,unitig_0_chrom|quiver,100.0,1218,0,0,1,1218,1695386,1694169,0.0,2250.0,group1148,3206-3,3206-3_04735
160,group1149|3206-3|3206-3_04734,unitig_0_chrom|quiver,100.0,333,0,0,1,333,1695609,1695941,8.89e-177,616.0,group1149,3206-3,3206-3_04734
161,group1150|3206-3|3206-3_04733,unitig_0_chrom|quiver,100.0,792,0,0,1,792,1696063,1696854,0.0,1463.0,group1150,3206-3,3206-3_04733
162,group1151|3206-3|3206-3_04732,unitig_0_chrom|quiver,100.0,804,0,0,1,804,1697702,1696899,0.0,1485.0,group1151,3206-3,3206-3_04732
163,group1152|3206-3|3206-3_07035,unitig_0_chrom|quiver,100.0,1275,0,0,1,1275,1701629,1700355,0.0,2355.0,group1152,3206-3,3206-3_07035
164,group1153|3206-3|3206-3_07034,unitig_0_chrom|quiver,100.0,2844,0,0,1,2844,1704870,1702027,0.0,5252.0,group1153,3206-3,3206-3_07034
165,group1154|3206-3|3206-3_07033,unitig_0_chrom|quiver,100.0,882,0,0,1,882,1705867,1704986,0.0,1629.0,group1154,3206-3,3206-3_07033
166,group1155|3206-3|3206-3_07032,unitig_0_chrom|quiver,100.0,663,0,0,1,663,1706864,1706202,0.0,1225.0,group1155,3206-3,3206-3_07032
167,group1156|3206-3|3206-3_07031,unitig_0_chrom|quiver,100.0,111,0,0,1,111,1707075,1707185,6.6e-54,206.0,group1156,3206-3,3206-3_07031
168,group1157|3206-3|3206-3_07030,unitig_0_chrom|quiver,100.0,291,0,0,1,291,1707355,1707645,1.71e-153,538.0,group1157,3206-3,3206-3_07030
169,group1159|3206-3|3206-3_07027,unitig_0_chrom|quiver,100.0,339,0,0,1,339,1709175,1709513,4.19e-180,627.0,group1159,3206-3,3206-3_07027
170,group1161|3206-3|3206-3_07026,unitig_0_chrom|quiver,100.0,342,0,0,1,342,1709851,1709510,0.0,632.0,group1161,3206-3,3206-3_07026
171,group1162|3206-3|3206-3_07025,unitig_0_chrom|quiver,100.0,309,0,0,1,309,1710256,1709948,1.8e-163,571.0,group1162,3206-3,3206-3_07025
4128,group5577|3206-3|3206-3_00093,unitig_0_chrom|quiver,100.0,38,0,0,21,58,1710616,1710653,2.73e-12,71.3,group5577,3206-3,3206-3_00093
1831,group2793|3206-3|3206-3_07022,unitig_0_chrom|quiver,100.0,897,0,0,1,897,1712562,1713458,0.0,1657.0,group2793,3206-3,3206-3_07022
1832,group2794|3206-3|3206-3_07021,unitig_0_chrom|quiver,100.0,2118,0,0,1,2118,1713665,1715782,0.0,3912.0,group2794,3206-3,3206-3_07021
1833,group2795|3206-3|3206-3_07020,unitig_0_chrom|quiver,100.0,1092,0,0,1,1092,1715997,1717088,0.0,2017.0,group2795,3206-3,3206-3_07020
4704,group9054|3206-3|3206-3_07013,unitig_0_chrom|quiver,100.0,300,0,0,1,300,1722175,1721876,1.76e-158,555.0,group9054,3206-3,3206-3_07013
1834,group2796|3206-3|3206-3_07012,unitig_0_chrom|quiver,100.0,1878,0,0,1,1878,1724162,1722285,0.0,3469.0,group2796,3206-3,3206-3_07012
1835,group2797|3206-3|3206-3_07011,unitig_0_chrom|quiver,100.0,1041,0,0,1,1041,1724435,1725475,0.0,1923.0,group2797,3206-3,3206-3_07011
1836,group2798|3206-3|3206-3_07010,unitig_0_chrom|quiver,100.0,825,0,0,1,825,1725591,1726415,0.0,1524.0,group2798,3206-3,3206-3_07010
1837,group2799|3206-3|3206-3_07009,unitig_0_chrom|quiver,100.0,789,0,0,1,789,1726415,1727203,0.0,1458.0,group2799,3206-3,3206-3_07009
1839,group2800|3206-3|3206-3_07008,unitig_0_chrom|quiver,100.0,1059,0,0,1,1059,1727211,1728269,0.0,1956.0,group2800,3206-3,3206-3_07008
1840,group2801|3206-3|3206-3_07007,unitig_0_chrom|quiver,100.0,1398,0,0,1,1398,1728287,1729684,0.0,2582.0,group2801,3206-3,3206-3_07007
1841,group2802|3206-3|3206-3_07006,unitig_0_chrom|quiver,100.0,1266,0,0,1,1266,1729823,1731088,0.0,2338.0,group2802,3206-3,3206-3_07006
1842,group2803|3206-3|3206-3_07005,unitig_0_chrom|quiver,100.0,954,0,0,1,954,1732125,1731172,0.0,1762.0,group2803,3206-3,3206-3_07005
1843,group2804|3206-3|3206-3_07004,unitig_0_chrom|quiver,100.0,1110,0,0,1,1110,1733332,1732223,0.0,2050.0,group2804,3206-3,3206-3_07004
1844,group2805|3206-3|3206-3_07003,unitig_0_chrom|quiver,100.0,723,0,0,1,723,1733401,1734123,0.0,1336.0,group2805,3206-3,3206-3_07003
1845,group2806|3206-3|3206-3_07002,unitig_0_chrom|quiver,100.0,771,0,0,1,771,1734368,1735138,0.0,1424.0,group2806,3206-3,3206-3_07002
1846,group2807|3206-3|3206-3_07001,unitig_0_chrom|quiver,100.0,660,0,0,1,660,1735865,1735206,0.0,1219.0,group2807,3206-3,3206-3_07001
1847,group2808|3206-3|3206-3_07000,unitig_0_chrom|quiver,100.0,999,0,0,1,999,1737156,1736158,0.0,1845.0,group2808,3206-3,3206-3_07000
1848,group2809|3206-3|3206-3_06999,unitig_0_chrom|quiver,100.0,1833,0,0,1,1833,1739002,1737170,0.0,3386.0,group2809,3206-3,3206-3_06999
1850,group2811|3206-3|3206-3_06993,unitig_0_chrom|quiver,100.0,624,0,0,1,624,1745131,1745754,0.0,1153.0,group2811,3206-3,3206-3_06993
1851,group2812|3206-3|3206-3_06992,unitig_0_chrom|quiver,100.0,1272,0,0,1,1272,1745798,1747069,0.0,2350.0,group2812,3206-3,3206-3_06992
1852,group2813|3206-3|3206-3_06991,unitig_0_chrom|quiver,100.0,1269,0,0,1,1269,1747551,1748819,0.0,2344.0,group2813,3206-3,3206-3_06991
1853,group2814|3206-3|3206-3_06990,unitig_0_chrom|quiver,100.0,2451,0,0,1,2451,1748837,1751287,0.0,4527.0,group2814,3206-3,3206-3_06990
1854,group2815|3206-3|3206-3_06989,unitig_0_chrom|quiver,100.0,330,0,0,1,330,1751298,1751627,4.1e-175,610.0,group2815,3206-3,3206-3_06989
1855,group2816|3206-3|3206-3_06988,unitig_0_chrom|quiver,100.0,2658,0,0,1,2658,1751628,1754285,0.0,4909.0,group2816,3206-3,3206-3_06988
1856,group2817|3206-3|3206-3_06987,unitig_0_chrom|quiver,100.0,678,0,0,1,678,1755000,1754323,0.0,1253.0,group2817,3206-3,3206-3_06987
1857,group2818|3206-3|3206-3_06986,unitig_0_chrom|quiver,100.0,318,0,0,1,318,1755431,1755114,1.85e-168,588.0,group2818,3206-3,3206-3_06986
1858,group2819|3206-3|3206-3_06985,unitig_0_chrom|quiver,100.0,351,0,0,1,351,1755619,1755969,0.0,649.0,group2819,3206-3,3206-3_06985
1860,group2820|3206-3|3206-3_06984,unitig_0_chrom|quiver,100.0,1452,0,0,1,1452,1756120,1757571,0.0,2682.0,group2820,3206-3,3206-3_06984
1861,group2821|3206-3|3206-3_06983,unitig_0_chrom|quiver,100.0,1290,0,0,1,1290,1757613,1758902,0.0,2383.0,group2821,3206-3,3206-3_06983
1862,group2822|3206-3|3206-3_06982,unitig_0_chrom|quiver,100.0,852,0,0,1,852,1758899,1759750,0.0,1574.0,group2822,3206-3,3206-3_06982
1863,group2823|3206-3|3206-3_06981,unitig_0_chrom|quiver,100.0,1260,0,0,1,1260,1759950,1761209,0.0,2327.0,group2823,3206-3,3206-3_06981
1864,group2824|3206-3|3206-3_06980,unitig_0_chrom|quiver,100.0,834,0,0,1,834,1762043,1761210,0.0,1541.0,group2824,3206-3,3206-3_06980
1865,group2825|3206-3|3206-3_06979,unitig_0_chrom|quiver,100.0,645,0,0,1,645,1762787,1762143,0.0,1192.0,group2825,3206-3,3206-3_06979
1866,group2826|3206-3|3206-3_06978,unitig_0_chrom|quiver,100.0,1038,0,0,1,1038,1763029,1764066,0.0,1917.0,group2826,3206-3,3206-3_06978
1867,group2827|3206-3|3206-3_06977,unitig_0_chrom|quiver,100.0,738,0,0,1,738,1764073,1764810,0.0,1363.0,group2827,3206-3,3206-3_06977
1868,group2828|3206-3|3206-3_06976,unitig_0_chrom|quiver,100.0,870,0,0,1,870,1764829,1765698,0.0,1607.0,group2828,3206-3,3206-3_06976
1869,group2829|3206-3|3206-3_06975,unitig_0_chrom|quiver,100.0,561,0,0,1,561,1765704,1766264,0.0,1037.0,group2829,3206-3,3206-3_06975
1871,group2830|3206-3|3206-3_06974,unitig_0_chrom|quiver,100.0,168,0,0,1,168,1766462,1766295,2.22e-85,311.0,group2830,3206-3,3206-3_06974
1872,group2831|3206-3|3206-3_06973,unitig_0_chrom|quiver,100.0,828,0,0,1,828,1767371,1766544,0.0,1530.0,group2831,3206-3,3206-3_06973
4301,group5863|3206-3|3206-3_06972,unitig_0_chrom|quiver,100.0,504,0,0,1,504,1767759,1768262,0.0,931.0,group5863,3206-3,3206-3_06972
4300,group5862|3206-3|3206-3_06971,unitig_0_chrom|quiver,100.0,285,0,0,1,285,1768600,1768316,3.63e-150,527.0,group5862,3206-3,3206-3_06971
4298,group5857|3206-3|3206-3_06970,unitig_0_chrom|quiver,100.0,549,0,0,1,549,1769210,1768662,0.0,1014.0,group5857,3206-3,3206-3_06970
4309,group5918|3206-3|3206-3_06969,unitig_0_chrom|quiver,100.0,750,0,0,1,750,1770026,1769277,0.0,1386.0,group5918,3206-3,3206-3_06969
4292,group5842|3206-3|3206-3_06968,unitig_0_chrom|quiver,100.0,930,0,0,1,930,1771110,1770181,0.0,1718.0,group5842,3206-3,3206-3_06968
1287,group2221|3206-3|3206-3_06753,unitig_0_chrom|quiver,100.0,1119,0,0,1,1119,1774390,1773272,0.0,2067.0,group2221,3206-3,3206-3_06753
1288,group2222|3206-3|3206-3_06752,unitig_0_chrom|quiver,100.0,462,0,0,1,462,1774547,1775008,0.0,854.0,group2222,3206-3,3206-3_06752
1289,group2223|3206-3|3206-3_06751,unitig_0_chrom|quiver,100.0,882,0,0,1,882,1775188,1776069,0.0,1629.0,group2223,3206-3,3206-3_06751
1290,group2224|3206-3|3206-3_06750,unitig_0_chrom|quiver,100.0,405,0,0,1,405,1776155,1776559,0.0,749.0,group2224,3206-3,3206-3_06750
1291,group2225|3206-3|3206-3_06748,unitig_0_chrom|quiver,100.0,1989,0,0,1,1989,1777431,1779419,0.0,3674.0,group2225,3206-3,3206-3_06748
1292,group2226|3206-3|3206-3_06747,unitig_0_chrom|quiver,100.0,969,0,0,1,969,1780430,1779462,0.0,1790.0,group2226,3206-3,3206-3_06747
1293,group2227|3206-3|3206-3_06746,unitig_0_chrom|quiver,100.0,615,0,0,1,615,1780570,1781184,0.0,1136.0,group2227,3206-3,3206-3_06746
1294,group2228|3206-3|3206-3_06745,unitig_0_chrom|quiver,100.0,576,0,0,1,576,1781807,1781232,0.0,1064.0,group2228,3206-3,3206-3_06745
1295,group2229|3206-3|3206-3_06744,unitig_0_chrom|quiver,100.0,777,0,0,1,777,1781970,1782746,0.0,1435.0,group2229,3206-3,3206-3_06744
1297,group2230|3206-3|3206-3_06743,unitig_0_chrom|quiver,100.0,1230,0,0,1,1230,1784033,1782804,0.0,2272.0,group2230,3206-3,3206-3_06743
1298,group2231|3206-3|3206-3_06742,unitig_0_chrom|quiver,100.0,1272,0,0,1,1272,1785501,1784230,0.0,2350.0,group2231,3206-3,3206-3_06742
1299,group2232|3206-3|3206-3_06741,unitig_0_chrom|quiver,100.0,327,0,0,1,327,1786063,1785737,1.89e-173,604.0,group2232,3206-3,3206-3_06741
1300,group2233|3206-3|3206-3_06740,unitig_0_chrom|quiver,100.0,1251,0,0,1,1251,1787351,1786101,0.0,2311.0,group2233,3206-3,3206-3_06740
1301,group2234|3206-3|3206-3_06739,unitig_0_chrom|quiver,100.0,537,0,0,1,537,1787388,1787924,0.0,992.0,group2234,3206-3,3206-3_06739
1302,group2235|3206-3|3206-3_06738,unitig_0_chrom|quiver,100.0,132,0,0,1,132,1788072,1787941,1.73e-65,244.0,group2235,3206-3,3206-3_06738
1303,group2236|3206-3|3206-3_06736,unitig_0_chrom|quiver,100.0,597,0,0,1,597,1789111,1788515,0.0,1103.0,group2236,3206-3,3206-3_06736
1304,group2237|3206-3|3206-3_06735,unitig_0_chrom|quiver,100.0,777,0,0,1,777,1789397,1790173,0.0,1435.0,group2237,3206-3,3206-3_06735
1305,group2238|3206-3|3206-3_06734,unitig_0_chrom|quiver,100.0,843,0,0,1,843,1790282,1791124,0.0,1557.0,group2238,3206-3,3206-3_06734
1306,group2239|3206-3|3206-3_06733,unitig_0_chrom|quiver,100.0,495,0,0,1,495,1791306,1791800,0.0,915.0,group2239,3206-3,3206-3_06733
1308,group2240|3206-3|3206-3_06732,unitig_0_chrom|quiver,100.0,591,0,0,1,591,1792097,1792687,0.0,1092.0,group2240,3206-3,3206-3_06732
1309,group2241|3206-3|3206-3_06731,unitig_0_chrom|quiver,100.0,3816,0,0,1,3816,1793327,1797142,0.0,7047.0,group2241,3206-3,3206-3_06731
1310,group2242|3206-3|3206-3_06730,unitig_0_chrom|quiver,100.0,369,0,0,1,369,1798328,1797960,0.0,682.0,group2242,3206-3,3206-3_06730
4646,group8611|3206-3|3206-3_06722,unitig_0_chrom|quiver,100.0,1173,0,0,1,1173,1806107,1804935,0.0,2167.0,group8611,3206-3,3206-3_06722
4458,group7031|3206-3|3206-3_06721,unitig_0_chrom|quiver,100.0,354,0,0,1,354,1806453,1806100,0.0,654.0,group7031,3206-3,3206-3_06721
4647,group8612|3206-3|3206-3_06720,unitig_0_chrom|quiver,100.0,1635,0,0,1,1635,1808068,1806434,0.0,3020.0,group8612,3206-3,3206-3_06720
1311,group2243|3206-3|3206-3_06719,unitig_0_chrom|quiver,100.0,648,0,0,1,648,1808284,1808931,0.0,1197.0,group2243,3206-3,3206-3_06719
4648,group8613|3206-3|3206-3_06718,unitig_0_chrom|quiver,100.0,510,0,0,1,510,1809519,1809010,0.0,942.0,group8613,3206-3,3206-3_06718
4649,group8614|3206-3|3206-3_06717,unitig_0_chrom|quiver,100.0,444,0,0,1,444,1809726,1810169,0.0,821.0,group8614,3206-3,3206-3_06717
4508,group7400|3206-3|3206-3_06716,unitig_0_chrom|quiver,100.0,744,0,0,1,744,1810875,1810132,0.0,1375.0,group7400,3206-3,3206-3_06716
4506,group7399|3206-3|3206-3_06715,unitig_0_chrom|quiver,100.0,735,0,0,1,735,1810998,1811732,0.0,1358.0,group7399,3206-3,3206-3_06715
4505,group7398|3206-3|3206-3_06714,unitig_0_chrom|quiver,100.0,1920,0,0,1,1920,1811710,1813629,0.0,3546.0,group7398,3206-3,3206-3_06714
4624,group8486|3206-3|3206-3_06713,unitig_0_chrom|quiver,100.0,648,0,0,1,648,1814620,1813973,0.0,1197.0,group8486,3206-3,3206-3_06713
4650,group8617|3206-3|3206-3_06710,unitig_0_chrom|quiver,100.0,300,0,0,1,300,1817358,1817657,1.76e-158,555.0,group8617,3206-3,3206-3_06710
4651,group8618|3206-3|3206-3_06709,unitig_0_chrom|quiver,100.0,336,0,0,1,336,1817707,1818042,1.93e-178,621.0,group8618,3206-3,3206-3_06709
4652,group8619|3206-3|3206-3_06708,unitig_0_chrom|quiver,100.0,372,0,0,1,372,1818426,1818055,0.0,688.0,group8619,3206-3,3206-3_06708
1312,group2244|3206-3|3206-3_06707,unitig_0_chrom|quiver,100.0,459,0,0,1,459,1818931,1818473,0.0,848.0,group2244,3206-3,3206-3_06707
4654,group8620|3206-3|3206-3_06706,unitig_0_chrom|quiver,100.0,822,0,0,1,822,1819061,1819882,0.0,1519.0,group8620,3206-3,3206-3_06706
4477,group7154|3206-3|3206-3_06704,unitig_0_chrom|quiver,100.0,324,0,0,1,324,1822093,1821770,8.7e-172,599.0,group7154,3206-3,3206-3_06704
1313,group2247|3206-3|3206-3_06703,unitig_0_chrom|quiver,100.0,2679,0,0,1,2679,1822337,1825015,0.0,4948.0,group2247,3206-3,3206-3_06703
4504,group7396|3206-3|3206-3_06702,unitig_0_chrom|quiver,100.0,834,0,0,1,834,1825082,1825915,0.0,1541.0,group7396,3206-3,3206-3_06702
1315,group2250|3206-3|3206-3_06699,unitig_0_chrom|quiver,100.0,633,0,0,1,633,1828438,1827806,0.0,1170.0,group2250,3206-3,3206-3_06699
1316,group2251|3206-3|3206-3_06698,unitig_0_chrom|quiver,100.0,1026,0,0,1,1026,1829460,1828435,0.0,1895.0,group2251,3206-3,3206-3_06698
1317,group2252|3206-3|3206-3_06697,unitig_0_chrom|quiver,100.0,1362,0,0,1,1362,1830862,1829501,0.0,2516.0,group2252,3206-3,3206-3_06697
1318,group2253|3206-3|3206-3_06696,unitig_0_chrom|quiver,100.0,1110,0,0,1,1110,1832033,1830924,0.0,2050.0,group2253,3206-3,3206-3_06696
1319,group2254|3206-3|3206-3_06695,unitig_0_chrom|quiver,100.0,480,0,0,1,480,1832163,1832642,0.0,887.0,group2254,3206-3,3206-3_06695
1320,group2255|3206-3|3206-3_06694,unitig_0_chrom|quiver,100.0,462,0,0,1,462,1833152,1832691,0.0,854.0,group2255,3206-3,3206-3_06694
1321,group2256|3206-3|3206-3_06693,unitig_0_chrom|quiver,100.0,792,0,0,1,792,1833276,1834067,0.0,1463.0,group2256,3206-3,3206-3_06693
3746,group5040|3206-3|3206-3_06678,unitig_0_chrom|quiver,100.0,1005,0,0,1,1005,1851209,1850205,0.0,1857.0,group5040,3206-3,3206-3_06678
3745,group5039|3206-3|3206-3_06677,unitig_0_chrom|quiver,100.0,894,0,0,1,894,1851338,1852231,0.0,1652.0,group5039,3206-3,3206-3_06677
3744,group5038|3206-3|3206-3_06676,unitig_0_chrom|quiver,100.0,315,0,0,1,315,1852559,1852245,8.5e-167,582.0,group5038,3206-3,3206-3_06676
3743,group5037|3206-3|3206-3_06675,unitig_0_chrom|quiver,100.0,582,0,0,1,582,1853251,1852670,0.0,1075.0,group5037,3206-3,3206-3_06675
3742,group5036|3206-3|3206-3_06674,unitig_0_chrom|quiver,100.0,168,0,0,1,168,1853415,1853248,2.22e-85,311.0,group5036,3206-3,3206-3_06674
3741,group5035|3206-3|3206-3_06673,unitig_0_chrom|quiver,100.0,873,0,0,1,873,1854337,1853465,0.0,1613.0,group5035,3206-3,3206-3_06673
3740,group5034|3206-3|3206-3_06672,unitig_0_chrom|quiver,100.0,399,0,0,1,399,1854852,1854454,0.0,737.0,group5034,3206-3,3206-3_06672
3739,group5033|3206-3|3206-3_06671,unitig_0_chrom|quiver,100.0,267,0,0,1,267,1855054,1855320,3.43e-140,494.0,group5033,3206-3,3206-3_06671
3738,group5032|3206-3|3206-3_06670,unitig_0_chrom|quiver,100.0,840,0,0,1,840,1856254,1855415,0.0,1552.0,group5032,3206-3,3206-3_06670
3737,group5031|3206-3|3206-3_06669,unitig_0_chrom|quiver,100.0,177,0,0,1,177,1856428,1856604,2.34e-90,327.0,group5031,3206-3,3206-3_06669
3736,group5030|3206-3|3206-3_06668,unitig_0_chrom|quiver,100.0,1389,0,0,1,1389,1856667,1858055,0.0,2566.0,group5030,3206-3,3206-3_06668
3735,group5029|3206-3|3206-3_06667,unitig_0_chrom|quiver,100.0,624,0,0,1,624,1858058,1858681,0.0,1153.0,group5029,3206-3,3206-3_06667
3734,group5028|3206-3|3206-3_06666,unitig_0_chrom|quiver,100.0,501,0,0,1,501,1859209,1858709,0.0,926.0,group5028,3206-3,3206-3_06666
3733,group5027|3206-3|3206-3_06665,unitig_0_chrom|quiver,100.0,498,0,0,1,498,1859497,1859994,0.0,920.0,group5027,3206-3,3206-3_06665
3732,group5026|3206-3|3206-3_06664,unitig_0_chrom|quiver,100.0,795,0,0,1,795,1860164,1860958,0.0,1469.0,group5026,3206-3,3206-3_06664
3731,group5025|3206-3|3206-3_06662,unitig_0_chrom|quiver,100.0,2085,0,0,1,2085,1863377,1861293,0.0,3851.0,group5025,3206-3,3206-3_06662
3730,group5024|3206-3|3206-3_06661,unitig_0_chrom|quiver,100.0,1179,0,0,1,1179,1864552,1863374,0.0,2178.0,group5024,3206-3,3206-3_06661
3729,group5023|3206-3|3206-3_06660,unitig_0_chrom|quiver,100.0,1656,0,0,1,1656,1866232,1864577,0.0,3059.0,group5023,3206-3,3206-3_06660
3728,group5022|3206-3|3206-3_06659,unitig_0_chrom|quiver,100.0,1506,0,0,1,1506,1867780,1866275,0.0,2782.0,group5022,3206-3,3206-3_06659
1571,group2503|3206-3|3206-3_02132,unitig_0_chrom|quiver,100.0,1521,0,0,1,1521,1873921,1872401,0.0,2809.0,group2503,3206-3,3206-3_02132
1570,group2502|3206-3|3206-3_02133,unitig_0_chrom|quiver,100.0,780,0,0,1,780,1874700,1873921,0.0,1441.0,group2502,3206-3,3206-3_02133
1569,group2501|3206-3|3206-3_02134,unitig_0_chrom|quiver,100.0,1620,0,0,1,1620,1876312,1874693,0.0,2992.0,group2501,3206-3,3206-3_02134
1568,group2500|3206-3|3206-3_02135,unitig_0_chrom|quiver,100.0,1050,0,0,1,1050,1877361,1876312,0.0,1940.0,group2500,3206-3,3206-3_02135
1566,group2499|3206-3|3206-3_02137,unitig_0_chrom|quiver,100.0,1536,0,0,1,1536,1877955,1879490,0.0,2837.0,group2499,3206-3,3206-3_02137
1565,group2498|3206-3|3206-3_02138,unitig_0_chrom|quiver,100.0,618,0,0,1,618,1879554,1880171,0.0,1142.0,group2498,3206-3,3206-3_02138
1564,group2497|3206-3|3206-3_02139,unitig_0_chrom|quiver,100.0,1044,0,0,1,1044,1881255,1880212,0.0,1929.0,group2497,3206-3,3206-3_02139
1563,group2495|3206-3|3206-3_02141,unitig_0_chrom|quiver,100.0,888,0,0,1,888,1883106,1882219,0.0,1640.0,group2495,3206-3,3206-3_02141
1562,group2494|3206-3|3206-3_02142,unitig_0_chrom|quiver,100.0,852,0,0,1,852,1883233,1884084,0.0,1574.0,group2494,3206-3,3206-3_02142
1561,group2493|3206-3|3206-3_02143,unitig_0_chrom|quiver,100.0,1002,0,0,1,1002,1884188,1885189,0.0,1851.0,group2493,3206-3,3206-3_02143
1560,group2492|3206-3|3206-3_02144,unitig_0_chrom|quiver,100.0,939,0,0,1,939,1886171,1885233,0.0,1735.0,group2492,3206-3,3206-3_02144
1559,group2491|3206-3|3206-3_02145,unitig_0_chrom|quiver,100.0,159,0,0,1,159,1886364,1886522,2.1e-80,294.0,group2491,3206-3,3206-3_02145
1558,group2490|3206-3|3206-3_02149,unitig_0_chrom|quiver,100.0,312,0,0,1,312,1888173,1888484,3.91e-165,577.0,group2490,3206-3,3206-3_02149
1556,group2489|3206-3|3206-3_02150,unitig_0_chrom|quiver,100.0,1317,0,0,1,1317,1889814,1888498,0.0,2433.0,group2489,3206-3,3206-3_02150
1555,group2488|3206-3|3206-3_02151,unitig_0_chrom|quiver,100.0,1404,0,0,1,1404,1891214,1889811,0.0,2593.0,group2488,3206-3,3206-3_02151
1554,group2487|3206-3|3206-3_02152,unitig_0_chrom|quiver,100.0,381,0,0,1,381,1891471,1891851,0.0,704.0,group2487,3206-3,3206-3_02152
1553,group2486|3206-3|3206-3_02153,unitig_0_chrom|quiver,100.0,354,0,0,1,354,1891875,1892228,0.0,654.0,group2486,3206-3,3206-3_02153
1552,group2485|3206-3|3206-3_02154,unitig_0_chrom|quiver,100.0,1839,0,0,1,1839,1894236,1892398,0.0,3397.0,group2485,3206-3,3206-3_02154
1551,group2484|3206-3|3206-3_02155,unitig_0_chrom|quiver,100.0,948,0,0,1,948,1894572,1895519,0.0,1751.0,group2484,3206-3,3206-3_02155
1550,group2483|3206-3|3206-3_02156,unitig_0_chrom|quiver,100.0,657,0,0,1,657,1895519,1896175,0.0,1214.0,group2483,3206-3,3206-3_02156
1549,group2482|3206-3|3206-3_02157,unitig_0_chrom|quiver,100.0,420,0,0,1,420,1896598,1896179,0.0,776.0,group2482,3206-3,3206-3_02157
1548,group2481|3206-3|3206-3_02158,unitig_0_chrom|quiver,100.0,423,0,0,1,423,1897104,1896682,0.0,782.0,group2481,3206-3,3206-3_02158
1547,group2480|3206-3|3206-3_02159,unitig_0_chrom|quiver,100.0,1011,0,0,1,1011,1898238,1897228,0.0,1868.0,group2480,3206-3,3206-3_02159
1545,group2479|3206-3|3206-3_02160,unitig_0_chrom|quiver,100.0,390,0,0,1,390,1898725,1898336,0.0,721.0,group2479,3206-3,3206-3_02160
1544,group2478|3206-3|3206-3_02161,unitig_0_chrom|quiver,100.0,369,0,0,1,369,1899227,1898859,0.0,682.0,group2478,3206-3,3206-3_02161
1543,group2477|3206-3|3206-3_02162,unitig_0_chrom|quiver,100.0,651,0,0,1,651,1900100,1899450,0.0,1203.0,group2477,3206-3,3206-3_02162
1542,group2476|3206-3|3206-3_02163,unitig_0_chrom|quiver,100.0,1341,0,0,1,1341,1901437,1900097,0.0,2477.0,group2476,3206-3,3206-3_02163
1541,group2475|3206-3|3206-3_02164,unitig_0_chrom|quiver,100.0,477,0,0,1,477,1902148,1901672,0.0,881.0,group2475,3206-3,3206-3_02164
